player,name_key,team,pos,age,gp,gs,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,PER,ts_pct,usg_pct,OWS,DWS,WS,ws_per_48,OBPM,DBPM,BPM,VORP,salary_2025_26,salary_2026_27,contract_years_remaining,total_remaining_value,guaranteed_total,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,cap_pct,per36_pts,per36_reb,per36_ast,likely_rookie_scale,predicted_cap_pct,predicted_aav,surplus_value,contract_type,contract_grade,small_sample_caveat
Luka Dončić,luka doncic,LAL,PG,26,64,64,35.8,33.5,7.7,8.3,1.6,0.5,4.0,0.476,0.366,0.78,0.563,27.9,0.616,38.1,6.6,2.9,9.5,0.199,8.0,1.3,9.3,6.6,45999660.0,49800000.0,4.0,207351660.0,149583660.0,45999660.0,49800000.0,53784000.0,57768000.0,,,0.2974494170594968,33.68715083798883,7.743016759776538,8.3463687150838,False,0.3720675314106493,57539127.53006268,11539467.530062683,Veteran (above-MLE),Significant bargain,False
Shai Gilgeous-Alexander,shai gilgeousalexander,OKC,PG,27,68,68,33.2,31.1,4.3,6.6,1.4,0.8,2.2,0.553,0.386,0.879,0.597,30.8,0.665,33.4,11.1,4.1,15.2,0.323,8.7,3.0,11.7,7.8,38333050.0,40806150.0,6.0,352441600.0,276795400.0,38333050.0,40806150.0,61005000.0,65885400.0,70765800.0,75646200.0,0.24787451421624732,33.72289156626506,4.662650602409638,7.156626506024096,False,0.3052938271536175,47212774.48782549,8879724.48782549,Veteran (above-MLE),Good value,False
Anthony Edwards,anthony edwards,MIN,SG,24,61,60,35.0,28.8,5.0,3.7,1.4,0.8,2.9,0.489,0.399,0.796,0.572,21.8,0.617,31.5,3.9,2.7,6.5,0.147,4.7,-0.1,4.5,3.5,45550512.0,48924624.0,4.0,202446720.0,202446720.0,45550512.0,48924624.0,52298736.0,55672848.0,,,0.29454507361927484,29.622857142857143,5.142857142857142,3.805714285714286,False,0.2710296822606492,41913927.27256262,-3636584.727437377,Veteran (above-MLE),Slight overpay,False
Jaylen Brown,jaylen brown,BOS,SF,29,71,71,34.4,28.7,6.9,5.1,1.0,0.4,3.6,0.477,0.347,0.795,0.522,22.0,0.573,36.2,3.5,3.4,6.9,0.135,3.5,-0.1,3.3,3.3,53142264.0,57078728.0,4.0,236187840.0,236187840.0,53142264.0,57078728.0,61015192.0,64951656.0,,,0.3436359192224873,30.034883720930235,7.220930232558141,5.337209302325581,False,0.3317855597104177,51309641.45253696,-1832622.547463037,Max / Supermax,Fair value,False
Tyrese Maxey,tyrese maxey,PHI,PG,25,70,70,38.0,28.3,4.1,6.6,1.9,0.8,2.4,0.462,0.367,0.892,0.536,21.9,0.588,29.4,5.9,2.8,8.7,0.156,5.0,0.5,5.4,4.9,37958760.0,40770520.0,4.0,168705600.0,168705600.0,37958760.0,40770520.0,43582280.0,46394040.0,,,0.2454542280160624,26.810526315789474,3.884210526315789,6.252631578947367,False,0.2761389315813396,42704057.35225943,4745297.352259427,Veteran (above-MLE),Good value,False
Donovan Mitchell,donovan mitchell,CLE,SG,29,70,70,33.5,27.9,4.5,5.7,1.5,0.3,2.8,0.483,0.364,0.865,0.563,22.9,0.613,32.2,5.8,2.4,8.2,0.169,5.2,-0.2,5.1,4.2,46394100.0,50105628.0,3.0,150316884.0,96499728.0,46394100.0,50105628.0,53817156.0,,,,0.3,29.982089552238804,4.835820895522388,6.125373134328359,False,0.29779710842407087,46053429.426457286,-340670.5735427141,Max / Supermax,Fair value,False
Kawhi Leonard,kawhi leonard,LAC,SF,34,65,65,32.1,27.9,6.4,3.6,1.9,0.4,2.0,0.505,0.387,0.892,0.573,27.9,0.629,33.5,6.5,2.7,9.2,0.212,7.4,0.6,8.0,5.3,50000000.0,50300000.0,2.0,100300000.0,100300000.0,50000000.0,50300000.0,,,,,0.3233169734944745,31.28971962616822,7.177570093457944,4.037383177570093,False,0.3775064407568466,58380238.54372405,8380238.543724053,Max / Supermax,Good value,False
Nikola Jokić,nikola jokic,DEN,C,30,65,65,34.8,27.7,12.9,10.7,1.4,0.8,3.7,0.569,0.38,0.831,0.618,32.3,0.67,30.4,11.5,3.4,14.9,0.316,10.1,4.1,14.2,9.2,55224526.0,59033114.0,3.0,177099342.0,114257640.0,55224526.0,59033114.0,62841702.0,,,,0.35710053217973836,28.655172413793107,13.344827586206897,11.068965517241379,False,0.3199577688709371,49480509.08258381,-5744016.917416193,Max / Supermax,Slight overpay,False
Giannis Antetokounmpo,giannis antetokounmpo,MIL,PF,31,36,36,28.9,27.6,9.8,5.4,0.9,0.7,3.2,0.624,0.333,0.65,0.636,32.6,0.658,37.0,3.9,1.1,5.0,0.231,7.7,1.8,9.5,3.0,54126450.0,58456566.0,3.0,175369698.0,112583016.0,54126450.0,58456566.0,62786682.0,,,,0.35,34.38062283737025,12.207612456747405,6.726643598615918,False,0.40063618905196735,61957184.72831959,7830734.728319593,Max / Supermax,Good value,True
Joel Embiid,joel embiid,PHI,C,31,38,38,31.6,26.9,7.7,3.9,0.6,1.2,2.9,0.489,0.333,0.854,0.527,24.7,0.605,33.5,2.8,1.3,4.1,0.163,5.1,-0.2,4.9,2.1,55224526.0,58100000.0,4.0,243468526.0,176072526.0,55224526.0,58100000.0,62748000.0,67396000.0,,,0.35710053217973836,30.64556962025316,8.772151898734178,4.443037974683544,False,0.34006601139319337,52590188.46392317,-2634337.536076829,Max / Supermax,Fair value,True
